epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1661,1.15882,1.93227,1.00636,0.83411,0.77156,0.82824,0.52328,1.1384,0.90679,1.00347,0.000410714,0.000410714,0.000410714
2,17.6447,1.02751,0.83376,0.96543,0.78684,0.72361,0.796,0.4968,1.17146,1.02756,1.05292,0.00081919,0.00081919,0.00081919
3,25.9314,0.97671,0.73252,0.9492,0.74637,0.76585,0.79761,0.51039,1.14032,1.00712,1.0693,0.00121942,0.00121942,0.00121942
4,34.123,0.94622,0.65763,0.92251,0.83146,0.78935,0.85517,0.54175,1.17049,0.83063,1.08591,0.00121287,0.00121287,0.00121287
5,42.4466,0.85376,0.60899,0.9043,0.87736,0.79281,0.87712,0.56396,1.11915,0.78652,1.04262,0.0012005,0.0012005,0.0012005
6,50.6899,0.79815,0.52968,0.8872,0.9316,0.77278,0.88746,0.58826,1.05624,0.73089,1.00395,0.00118812,0.00118812,0.00118812
7,58.9255,0.73534,0.49219,0.86786,0.87651,0.80389,0.88101,0.59389,1.01948,0.66181,1.01951,0.00117575,0.00117575,0.00117575
8,67.5344,0.68078,0.45218,0.8505,0.91195,0.8597,0.905,0.60907,1.00863,0.62882,0.99236,0.00116337,0.00116337,0.00116337
9,76.1637,0.64599,0.4366,0.83822,0.88607,0.80285,0.87902,0.61533,0.97779,0.69322,0.98957,0.001151,0.001151,0.001151
10,84.9181,0.62124,0.41296,0.82924,0.92139,0.82436,0.89904,0.63508,0.97625,0.62087,1.00052,0.00113863,0.00113863,0.00113863
11,93.7849,0.57601,0.38325,0.822,0.93525,0.82789,0.91442,0.63745,0.98311,0.62809,0.98591,0.00112625,0.00112625,0.00112625
12,102.887,0.54008,0.36982,0.81324,0.95041,0.81561,0.91328,0.65318,0.92082,0.61658,0.96043,0.00111388,0.00111388,0.00111388
13,111.612,0.52431,0.35593,0.80857,0.95975,0.83918,0.91559,0.64307,0.96667,0.58646,0.9879,0.0011015,0.0011015,0.0011015
14,120.28,0.51564,0.34437,0.8069,0.92447,0.86772,0.9228,0.65421,0.94377,0.58237,0.96429,0.00108913,0.00108913,0.00108913
15,129.345,0.47204,0.32297,0.7978,0.93576,0.85604,0.92211,0.66121,0.91409,0.58676,0.94932,0.00107675,0.00107675,0.00107675
16,138.077,0.45881,0.31646,0.79351,0.93632,0.86398,0.91737,0.65046,0.93228,0.56922,0.97131,0.00106437,0.00106437,0.00106437
17,146.868,0.44767,0.31611,0.79333,0.93399,0.81392,0.90622,0.65039,0.95099,0.59405,0.98332,0.001052,0.001052,0.001052
18,155.528,0.41957,0.30347,0.78711,0.93996,0.81254,0.90924,0.66258,0.90505,0.61511,0.95784,0.00103962,0.00103962,0.00103962
19,164.185,0.41072,0.29254,0.78612,0.92977,0.85338,0.91576,0.66052,0.91982,0.56935,0.96518,0.00102725,0.00102725,0.00102725
20,172.729,0.39529,0.27891,0.78481,0.94644,0.8571,0.91704,0.66271,0.91023,0.57783,0.9618,0.00101488,0.00101488,0.00101488
21,181.496,0.395,0.27594,0.78304,0.93005,0.85241,0.90933,0.65339,0.91692,0.57589,0.95383,0.0010025,0.0010025,0.0010025
22,190.243,0.38017,0.27172,0.78163,0.94534,0.82836,0.91083,0.65457,0.89757,0.56707,0.96992,0.000990125,0.000990125,0.000990125
23,198.846,0.37105,0.26876,0.78076,0.92629,0.84334,0.91333,0.66674,0.89137,0.56143,0.95129,0.00097775,0.00097775,0.00097775
24,207.541,0.34431,0.25445,0.77645,0.93239,0.84221,0.91658,0.66971,0.90406,0.57247,0.95389,0.000965375,0.000965375,0.000965375
25,216.347,0.34797,0.25216,0.77652,0.95177,0.84576,0.91593,0.67449,0.8825,0.55806,0.96294,0.000953,0.000953,0.000953
26,225.101,0.32819,0.24335,0.7738,0.94579,0.84296,0.91266,0.67286,0.89059,0.58995,0.9577,0.000940625,0.000940625,0.000940625
27,233.693,0.32066,0.2367,0.77332,0.95844,0.80854,0.90855,0.67329,0.88162,0.54785,0.97191,0.00092825,0.00092825,0.00092825
28,242.418,0.30678,0.23361,0.77242,0.95771,0.81193,0.91019,0.67547,0.88063,0.58671,0.94691,0.000915875,0.000915875,0.000915875
29,252.281,0.29175,0.22484,0.76997,0.94789,0.86035,0.9131,0.67576,0.86223,0.55902,0.95277,0.0009035,0.0009035,0.0009035
30,261.686,0.28211,0.21871,0.77045,0.94893,0.8348,0.91357,0.67956,0.88034,0.57989,0.95165,0.000891125,0.000891125,0.000891125
31,272.06,0.28439,0.21898,0.76777,0.92608,0.85586,0.91246,0.67351,0.88395,0.55958,0.9618,0.00087875,0.00087875,0.00087875
32,282.067,0.27142,0.21218,0.76734,0.9523,0.86062,0.92729,0.68755,0.87505,0.56142,0.95068,0.000866375,0.000866375,0.000866375
33,291.04,0.26962,0.21321,0.76942,0.95298,0.8447,0.90896,0.68036,0.86666,0.54171,0.96222,0.000854,0.000854,0.000854
34,299.775,0.27628,0.20874,0.76926,0.93055,0.86155,0.91636,0.67736,0.88595,0.5513,0.96609,0.000841625,0.000841625,0.000841625
35,308.655,0.25992,0.20681,0.76612,0.9308,0.87459,0.92395,0.68941,0.87078,0.54175,0.96275,0.00082925,0.00082925,0.00082925
36,317.488,0.25811,0.20062,0.76586,0.94696,0.86606,0.93078,0.69273,0.87428,0.53946,0.96189,0.000816875,0.000816875,0.000816875
37,326.679,0.24841,0.2005,0.76478,0.93797,0.8527,0.91889,0.68304,0.87524,0.56508,0.95241,0.0008045,0.0008045,0.0008045
38,335.588,0.25545,0.20115,0.76504,0.95765,0.85875,0.92528,0.69354,0.8642,0.53447,0.96251,0.000792125,0.000792125,0.000792125
39,344.518,0.23202,0.18909,0.76294,0.9436,0.85682,0.92599,0.6984,0.85422,0.53728,0.95112,0.00077975,0.00077975,0.00077975
40,353.461,0.21799,0.18115,0.76177,0.96884,0.83269,0.9242,0.69136,0.85918,0.56231,0.95267,0.000767375,0.000767375,0.000767375
41,362.12,0.21854,0.18049,0.76341,0.95605,0.85901,0.92888,0.69269,0.86704,0.54552,0.9604,0.000755,0.000755,0.000755
42,371.486,0.22335,0.18245,0.76223,0.97024,0.84216,0.92828,0.6938,0.86384,0.53358,0.95696,0.000742625,0.000742625,0.000742625
