epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8993,0.11016,0.12375,0.75641,0.96868,0.8394,0.91516,0.6971,0.83163,0.59476,0.94534,0.000410714,0.000410714,0.000410714
2,20.9728,0.30115,0.23398,0.77098,0.89202,0.80821,0.87012,0.62451,0.90063,0.65834,0.97402,0.000810999,0.000810999,0.000810999
3,30.4143,0.40375,0.32147,0.78854,0.67909,0.57023,0.644,0.45481,1.01422,1.39348,1.02182,0.00119478,0.00119478,0.00119478
4,39.9633,0.44795,0.36147,0.79553,0.88082,0.75687,0.82786,0.55873,0.98465,0.7172,1.01363,0.00117575,0.00117575,0.00117575
5,49.1792,0.45524,0.34538,0.79374,0.90782,0.75826,0.85054,0.59309,0.95746,0.7481,0.99375,0.001151,0.001151,0.001151
6,58.0965,0.42371,0.31617,0.78947,0.92151,0.78801,0.87482,0.6248,0.94005,0.66363,0.98588,0.00112625,0.00112625,0.00112625
7,66.4223,0.42265,0.30636,0.78711,0.94961,0.76873,0.87651,0.63463,0.94337,0.6936,1.00388,0.0011015,0.0011015,0.0011015
8,75.3025,0.39986,0.28474,0.78301,0.93408,0.83544,0.89499,0.66114,0.91453,0.56624,0.97993,0.00107675,0.00107675,0.00107675
9,84.2318,0.35829,0.26233,0.77643,0.93617,0.82248,0.89792,0.6523,0.92242,0.59798,0.99991,0.001052,0.001052,0.001052
10,93.1923,0.34188,0.24908,0.77493,0.92786,0.82965,0.89377,0.65364,0.90333,0.57266,0.97925,0.00102725,0.00102725,0.00102725
11,102.154,0.32898,0.24398,0.77201,0.9274,0.81524,0.89325,0.6529,0.90082,0.59075,0.97894,0.0010025,0.0010025,0.0010025
12,111.354,0.31152,0.23556,0.76804,0.92718,0.82817,0.9003,0.65473,0.90784,0.59317,0.97395,0.00097775,0.00097775,0.00097775
13,120.734,0.3058,0.23056,0.76914,0.9447,0.84894,0.90479,0.66478,0.89083,0.57688,0.96547,0.000953,0.000953,0.000953
14,129.236,0.29499,0.22381,0.76854,0.93386,0.83664,0.90749,0.65961,0.89189,0.58279,0.97364,0.00092825,0.00092825,0.00092825
15,137.624,0.28529,0.2163,0.76636,0.95949,0.80619,0.89624,0.66938,0.86672,0.58963,0.95904,0.0009035,0.0009035,0.0009035
16,146.607,0.28186,0.21416,0.76516,0.95203,0.81464,0.89805,0.6717,0.89064,0.59516,0.97375,0.00087875,0.00087875,0.00087875
17,155.714,0.2721,0.21239,0.76618,0.93738,0.83243,0.90519,0.66925,0.87103,0.60711,0.96098,0.000854,0.000854,0.000854
18,164.37,0.25385,0.20049,0.76288,0.9459,0.8237,0.89946,0.67167,0.87264,0.57941,0.9713,0.00082925,0.00082925,0.00082925
19,173.029,0.2383,0.19287,0.76226,0.94302,0.83627,0.9056,0.67806,0.87675,0.58086,0.96779,0.0008045,0.0008045,0.0008045
20,181.679,0.22279,0.18745,0.76251,0.93634,0.82404,0.9104,0.69075,0.85609,0.58557,0.97518,0.00077975,0.00077975,0.00077975
21,190.247,0.22328,0.18793,0.76087,0.938,0.84706,0.91286,0.67973,0.86631,0.58366,0.96744,0.000755,0.000755,0.000755
22,198.922,0.21262,0.1798,0.7609,0.93852,0.8431,0.91229,0.68424,0.86182,0.57391,0.96352,0.00073025,0.00073025,0.00073025
23,207.975,0.19635,0.16934,0.75946,0.9429,0.81975,0.89904,0.67035,0.8531,0.6075,0.96651,0.0007055,0.0007055,0.0007055
24,216.862,0.19778,0.16708,0.75905,0.93864,0.85058,0.91278,0.67857,0.85506,0.572,0.96866,0.00068075,0.00068075,0.00068075
25,226.417,0.18642,0.16233,0.75898,0.94121,0.84654,0.90621,0.68696,0.85113,0.57539,0.96505,0.000656,0.000656,0.000656
26,235.36,0.18913,0.16268,0.75804,0.93993,0.83269,0.90828,0.68757,0.85535,0.58059,0.97272,0.00063125,0.00063125,0.00063125
27,243.974,0.16563,0.15259,0.7573,0.96361,0.81404,0.90487,0.68797,0.84329,0.60038,0.97035,0.0006065,0.0006065,0.0006065
28,252.583,0.16558,0.151,0.75773,0.93659,0.83336,0.91118,0.69585,0.84788,0.58158,0.96747,0.00058175,0.00058175,0.00058175
29,261.265,0.16042,0.14842,0.7572,0.94025,0.84454,0.91331,0.69098,0.83834,0.56822,0.96849,0.000557,0.000557,0.000557
30,269.849,0.15842,0.14745,0.75673,0.93676,0.837,0.90777,0.69367,0.84283,0.58208,0.97069,0.00053225,0.00053225,0.00053225
31,278.461,0.14874,0.14215,0.75509,0.95748,0.82688,0.91324,0.69848,0.83532,0.58138,0.96479,0.0005075,0.0005075,0.0005075
32,287.423,0.14218,0.13814,0.75543,0.95437,0.82629,0.91142,0.70074,0.83643,0.59341,0.96671,0.00048275,0.00048275,0.00048275
33,296.094,0.13508,0.13521,0.75751,0.94567,0.83655,0.9075,0.69112,0.83036,0.56988,0.96296,0.000458,0.000458,0.000458
34,304.846,0.12311,0.12906,0.75686,0.94787,0.84034,0.91216,0.69507,0.83499,0.59363,0.9657,0.00043325,0.00043325,0.00043325
35,313.452,0.12071,0.12727,0.75498,0.94138,0.82788,0.9099,0.69606,0.83787,0.58855,0.97316,0.0004085,0.0004085,0.0004085
36,321.969,0.11323,0.12235,0.7556,0.93512,0.84254,0.91762,0.70279,0.82671,0.57305,0.96465,0.00038375,0.00038375,0.00038375
37,330.678,0.12179,0.12612,0.75457,0.96184,0.82834,0.91025,0.69665,0.8359,0.5662,0.97187,0.000359,0.000359,0.000359
38,339.289,0.10662,0.11757,0.75443,0.95808,0.82649,0.91127,0.70008,0.83121,0.57275,0.96996,0.00033425,0.00033425,0.00033425
39,348.042,0.09585,0.11141,0.75382,0.95524,0.82952,0.9076,0.69931,0.82783,0.59151,0.96754,0.0003095,0.0003095,0.0003095
40,357.515,0.08914,0.10686,0.7539,0.94202,0.83737,0.9129,0.69647,0.82385,0.58317,0.96916,0.00028475,0.00028475,0.00028475
41,372.566,0.08745,0.10538,0.75369,0.95247,0.83325,0.91049,0.69953,0.81998,0.5883,0.96305,0.00026,0.00026,0.00026
42,381.112,0.08128,0.10055,0.75363,0.95818,0.83272,0.91188,0.7042,0.81073,0.58232,0.96427,0.00023525,0.00023525,0.00023525
43,389.672,0.07573,0.09557,0.75375,0.96083,0.83176,0.91177,0.70421,0.81655,0.59249,0.96733,0.0002105,0.0002105,0.0002105
44,398.413,0.06792,0.09168,0.75356,0.95416,0.83537,0.90623,0.69926,0.81566,0.58506,0.96744,0.00018575,0.00018575,0.00018575
45,407.229,0.06232,0.08642,0.75361,0.9552,0.83712,0.9163,0.70545,0.81973,0.59154,0.9673,0.000161,0.000161,0.000161
46,415.957,0.05536,0.08069,0.75242,0.95547,0.83246,0.91464,0.7049,0.81716,0.60188,0.96761,0.00013625,0.00013625,0.00013625
47,424.617,0.052,0.07765,0.75209,0.9565,0.83615,0.91404,0.70728,0.81498,0.60515,0.967,0.0001115,0.0001115,0.0001115
48,433.295,0.04534,0.07235,0.75315,0.9567,0.83198,0.91382,0.70537,0.81554,0.60733,0.96839,8.675e-05,8.675e-05,8.675e-05
49,441.89,0.04071,0.06622,0.75326,0.96138,0.83658,0.91419,0.70482,0.81087,0.61551,0.9664,6.2e-05,6.2e-05,6.2e-05
50,450.458,0.03629,0.06187,0.75315,0.9555,0.83395,0.91226,0.70342,0.8121,0.62482,0.96724,3.725e-05,3.725e-05,3.725e-05
