epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.184,1.64861,1.22264,1.2791,0.52491,0.39193,0.39518,0.19338,1.53777,0.92906,1.1549,0.00332741,0.00332741,0.00332741
2,445.761,1.36936,0.7905,1.08852,0.61765,0.44679,0.47914,0.24591,1.44589,0.84165,1.10503,0.00652886,0.00652886,0.00652886
3,651.575,1.3314,0.7585,1.0642,0.56423,0.42965,0.43324,0.218,1.47934,0.90566,1.12362,0.00959831,0.00959831,0.00959831
4,1214.65,1.32677,0.75249,1.05946,0.62475,0.44491,0.48425,0.24545,1.44136,0.85819,1.10174,0.009406,0.009406,0.009406
5,1413.06,1.27272,0.7052,1.03516,0.66081,0.49965,0.53107,0.27949,1.36957,0.7964,1.06747,0.009208,0.009208,0.009208
6,1695.51,1.22769,0.66972,1.01598,0.66083,0.50272,0.54072,0.28795,1.3545,0.76904,1.06312,0.00901,0.00901,0.00901
7,1912.59,1.19092,0.64209,1.00089,0.70986,0.54554,0.59136,0.3246,1.31879,0.71342,1.04641,0.008812,0.008812,0.008812
8,2120.76,1.15394,0.61479,0.98593,0.72297,0.54455,0.60164,0.33258,1.30023,0.69946,1.03869,0.008614,0.008614,0.008614
9,2324.29,1.12209,0.59335,0.97341,0.7022,0.55433,0.59622,0.33604,1.27503,0.68612,1.03007,0.008416,0.008416,0.008416
10,2528.51,1.0921,0.57235,0.96236,0.74311,0.56315,0.62013,0.35617,1.24795,0.66558,1.02456,0.008218,0.008218,0.008218
11,2730.2,1.06108,0.55369,0.95141,0.74447,0.58133,0.63614,0.36542,1.2406,0.64526,1.02315,0.00802,0.00802,0.00802
12,2935.84,1.03178,0.53582,0.94163,0.77748,0.58564,0.65147,0.37721,1.20587,0.63484,1.00952,0.007822,0.007822,0.007822
13,3140.06,1.00199,0.51799,0.93114,0.76912,0.59311,0.65204,0.38516,1.19789,0.62484,1.01103,0.007624,0.007624,0.007624
14,3339.63,0.9744,0.50226,0.92249,0.78525,0.58546,0.6561,0.39129,1.16632,0.6149,0.99631,0.007426,0.007426,0.007426
15,3542.98,0.94701,0.48747,0.91394,0.79516,0.58512,0.65817,0.39846,1.15408,0.61019,1.00031,0.007228,0.007228,0.007228
16,3750.51,0.92113,0.47372,0.90602,0.77089,0.59781,0.65683,0.39962,1.15625,0.61063,0.99391,0.00703,0.00703,0.00703
17,3952.63,0.89299,0.4589,0.89742,0.79613,0.61306,0.67993,0.418,1.13214,0.59931,0.99559,0.006832,0.006832,0.006832
18,4155.94,0.86589,0.44518,0.89067,0.80309,0.61307,0.68019,0.42423,1.10136,0.59197,0.98696,0.006634,0.006634,0.006634
19,4360.07,0.84051,0.43305,0.88317,0.81472,0.61179,0.68419,0.42824,1.08509,0.5785,0.98318,0.006436,0.006436,0.006436
20,4563.11,0.81509,0.4208,0.87646,0.81649,0.61495,0.69018,0.43698,1.0757,0.57729,0.97886,0.006238,0.006238,0.006238
21,5715.5,0.79263,0.41054,0.87061,0.80404,0.62971,0.69465,0.44259,1.06212,0.56798,0.98073,0.00604,0.00604,0.00604
22,5916.47,0.76705,0.39826,0.86443,0.81891,0.62317,0.69413,0.44836,1.04683,0.56117,0.9769,0.005842,0.005842,0.005842
23,6120.99,0.74644,0.389,0.85919,0.81865,0.63257,0.70238,0.45573,1.02755,0.55746,0.97214,0.005644,0.005644,0.005644
24,6330.13,0.72371,0.37842,0.8538,0.82955,0.63359,0.70463,0.46051,1.01712,0.55389,0.97072,0.005446,0.005446,0.005446
25,6549.79,0.70117,0.36886,0.84889,0.82412,0.64096,0.70824,0.46938,1.00183,0.54504,0.96767,0.005248,0.005248,0.005248
26,6750.37,0.67975,0.35893,0.84374,0.83082,0.64146,0.7094,0.47071,0.98958,0.54144,0.96442,0.00505,0.00505,0.00505
27,6955.35,0.66018,0.35019,0.83964,0.83777,0.64304,0.71562,0.47804,0.98154,0.53992,0.96772,0.004852,0.004852,0.004852
28,7160.93,0.63888,0.3402,0.83547,0.83757,0.64582,0.71532,0.48234,0.96913,0.53775,0.96268,0.004654,0.004654,0.004654
29,7368.61,0.61983,0.33214,0.8315,0.83708,0.653,0.72136,0.48805,0.95763,0.52883,0.96071,0.004456,0.004456,0.004456
30,7573.29,0.60146,0.32371,0.82778,0.84601,0.64418,0.7205,0.49167,0.9505,0.52763,0.96171,0.004258,0.004258,0.004258
31,7783.13,0.5816,0.31471,0.82402,0.84113,0.65198,0.72184,0.49363,0.9427,0.52581,0.96229,0.00406,0.00406,0.00406
32,8002.87,0.5631,0.30678,0.82065,0.84155,0.65148,0.72253,0.49647,0.93387,0.5239,0.96005,0.003862,0.003862,0.003862
33,8226.38,0.54422,0.29873,0.81756,0.83868,0.66019,0.72599,0.50107,0.92492,0.5194,0.9584,0.003664,0.003664,0.003664
34,8445.41,0.52571,0.29097,0.81425,0.84575,0.65622,0.72769,0.50483,0.91987,0.517,0.95848,0.003466,0.003466,0.003466
35,8648.49,0.50758,0.28299,0.81124,0.84819,0.6566,0.72843,0.50637,0.91331,0.51477,0.95908,0.003268,0.003268,0.003268
36,8851.41,0.4907,0.27543,0.80841,0.85293,0.65626,0.73194,0.5113,0.90924,0.5146,0.95895,0.00307,0.00307,0.00307
37,9054.46,0.47276,0.26795,0.8057,0.852,0.65853,0.73363,0.51406,0.90384,0.51243,0.95939,0.002872,0.002872,0.002872
38,9257.67,0.45599,0.26058,0.80325,0.85538,0.6567,0.73244,0.51526,0.90059,0.51172,0.96039,0.002674,0.002674,0.002674
39,9461.27,0.43848,0.2533,0.80061,0.84027,0.66284,0.73282,0.51677,0.89756,0.51177,0.9602,0.002476,0.002476,0.002476
40,9663.61,0.42186,0.24623,0.79823,0.84737,0.65891,0.73259,0.51704,0.89491,0.51136,0.96081,0.002278,0.002278,0.002278
41,9883.19,0.40412,0.23927,0.79586,0.84649,0.65833,0.73339,0.51927,0.89226,0.51092,0.96142,0.00208,0.00208,0.00208
42,10087.2,0.38783,0.23222,0.7937,0.85725,0.65273,0.73369,0.51981,0.88994,0.51113,0.96208,0.001882,0.001882,0.001882
43,10294.2,0.3711,0.22554,0.79151,0.85112,0.65573,0.73333,0.52069,0.8887,0.51265,0.96298,0.001684,0.001684,0.001684
44,10499,0.35427,0.21844,0.78956,0.85312,0.65278,0.73298,0.52142,0.88733,0.51352,0.9636,0.001486,0.001486,0.001486
45,10703.8,0.33883,0.21205,0.78765,0.85303,0.65134,0.73278,0.52127,0.8866,0.51517,0.96417,0.001288,0.001288,0.001288
46,10926.5,0.32288,0.20595,0.78595,0.85008,0.65338,0.73304,0.52178,0.88577,0.51644,0.96524,0.00109,0.00109,0.00109
47,11142.8,0.30752,0.19992,0.78447,0.8522,0.65177,0.73288,0.52151,0.8855,0.5181,0.96636,0.000892,0.000892,0.000892
48,11359.2,0.29281,0.19429,0.78308,0.85321,0.64959,0.73261,0.52125,0.88538,0.51998,0.96737,0.000694,0.000694,0.000694
49,11583.2,0.2798,0.1892,0.78182,0.84886,0.65106,0.73195,0.52131,0.88553,0.52191,0.9683,0.000496,0.000496,0.000496
