epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.245,1.66642,1.19381,1.33979,0.57924,0.43197,0.45172,0.22243,1.5462,0.99894,1.2067,0.00332741,0.00332741,0.00332741
2,738.086,1.37053,0.80874,1.11491,0.68535,0.48845,0.53048,0.27638,1.44536,0.88329,1.14055,0.00652886,0.00652886,0.00652886
3,1153.99,1.32965,0.77263,1.08708,0.64904,0.45908,0.49952,0.25332,1.4843,0.9108,1.14704,0.00959831,0.00959831,0.00959831
4,1962.14,1.32073,0.76633,1.07891,0.64862,0.44506,0.49788,0.25946,1.47407,0.9475,1.15683,0.009406,0.009406,0.009406
5,2381.13,1.27273,0.7194,1.05369,0.64117,0.43978,0.48731,0.26401,1.3911,0.87599,1.09874,0.009208,0.009208,0.009208
6,2898.3,1.2315,0.68444,1.03411,0.73926,0.52864,0.59143,0.32381,1.34988,0.76639,1.08609,0.00901,0.00901,0.00901
7,3335.95,1.19526,0.65424,1.0168,0.72225,0.54654,0.60883,0.33923,1.33269,0.76446,1.07413,0.008812,0.008812,0.008812
8,3704.86,1.1618,0.62845,1.00209,0.72733,0.55294,0.59692,0.33515,1.30644,0.71994,1.06841,0.008614,0.008614,0.008614
9,5210.91,1.1312,0.60468,0.98915,0.77112,0.56715,0.63596,0.36473,1.26872,0.70092,1.04278,0.008416,0.008416,0.008416
10,5609.74,1.09922,0.58198,0.97533,0.75407,0.56018,0.62816,0.36937,1.25671,0.69491,1.05779,0.008218,0.008218,0.008218
11,6001.75,1.06928,0.56263,0.96436,0.7837,0.60298,0.66984,0.39354,1.24889,0.67189,1.05728,0.00802,0.00802,0.00802
12,6385.03,1.04094,0.54479,0.95368,0.7982,0.60835,0.67815,0.405,1.2136,0.65271,1.03887,0.007822,0.007822,0.007822
13,6763,1.01308,0.52704,0.94356,0.7749,0.60004,0.67062,0.40922,1.19649,0.65467,1.03741,0.007624,0.007624,0.007624
14,7139.38,0.98527,0.51053,0.93349,0.79181,0.61362,0.68598,0.41986,1.17616,0.64377,1.03014,0.007426,0.007426,0.007426
15,7500.6,0.95681,0.49552,0.92347,0.80854,0.60867,0.68902,0.42859,1.15874,0.63355,1.02288,0.007228,0.007228,0.007228
16,7873.17,0.92993,0.48084,0.91424,0.80494,0.61634,0.69151,0.43334,1.15136,0.62892,1.02501,0.00703,0.00703,0.00703
17,8280.28,0.90212,0.46643,0.90537,0.82273,0.62751,0.70467,0.44574,1.12374,0.6107,1.01282,0.006832,0.006832,0.006832
18,8660.91,0.87732,0.45288,0.89774,0.82228,0.6287,0.70606,0.44874,1.11873,0.60845,1.01381,0.006634,0.006634,0.006634
19,9095.7,0.84995,0.44008,0.88923,0.83102,0.63428,0.71187,0.45616,1.09008,0.59597,1.00554,0.006436,0.006436,0.006436
20,9836.9,0.82543,0.42804,0.8821,0.82803,0.63427,0.71435,0.46374,1.07663,0.59966,1.00215,0.006238,0.006238,0.006238
21,10240.7,0.79995,0.416,0.87442,0.8308,0.64256,0.71666,0.46847,1.06428,0.59047,1.00379,0.00604,0.00604,0.00604
22,10604.4,0.77623,0.40521,0.86727,0.82638,0.64911,0.72525,0.47737,1.05164,0.57926,1.005,0.005842,0.005842,0.005842
23,10966.7,0.75336,0.39509,0.86123,0.84024,0.65196,0.72895,0.48503,1.03196,0.57501,0.9977,0.005644,0.005644,0.005644
24,11356.1,0.72988,0.38495,0.85493,0.83958,0.64818,0.73166,0.4904,1.02447,0.57447,0.99847,0.005446,0.005446,0.005446
25,11765.7,0.70794,0.37528,0.84903,0.84294,0.64742,0.72782,0.49142,1.00935,0.5699,0.99567,0.005248,0.005248,0.005248
26,12143.3,0.68581,0.36485,0.84333,0.84063,0.64948,0.7287,0.4944,0.99959,0.57202,0.99526,0.00505,0.00505,0.00505
27,12532,0.66447,0.35595,0.8379,0.853,0.65183,0.73826,0.50418,0.9896,0.56403,0.99456,0.004852,0.004852,0.004852
28,12920,0.64216,0.34631,0.83301,0.84568,0.65175,0.73724,0.50679,0.97868,0.55832,0.99273,0.004654,0.004654,0.004654
29,13314.5,0.6228,0.33821,0.82807,0.85805,0.65104,0.73878,0.51179,0.96679,0.55259,0.99072,0.004456,0.004456,0.004456
30,14578.2,0.60167,0.3291,0.82341,0.85562,0.65041,0.73904,0.5155,0.95831,0.55691,0.9917,0.004258,0.004258,0.004258
31,15052.4,0.58059,0.32046,0.81882,0.85835,0.65182,0.74029,0.51856,0.9483,0.5522,0.98894,0.00406,0.00406,0.00406
32,15450.4,0.5616,0.31229,0.81449,0.85905,0.65267,0.74172,0.5211,0.94209,0.547,0.99453,0.003862,0.003862,0.003862
33,15886,0.54241,0.30436,0.81026,0.84909,0.66159,0.74639,0.52648,0.93444,0.54582,0.99447,0.003664,0.003664,0.003664
34,16715.1,0.52357,0.296,0.80644,0.85224,0.65942,0.74505,0.52659,0.92914,0.54429,0.99555,0.003466,0.003466,0.003466
35,17191.5,0.50349,0.2883,0.80249,0.8544,0.65742,0.7455,0.52991,0.92244,0.54326,0.99577,0.003268,0.003268,0.003268
36,17882.8,0.4855,0.28053,0.79886,0.8542,0.65696,0.74476,0.53103,0.91708,0.54094,0.99638,0.00307,0.00307,0.00307
37,18299.6,0.4658,0.27263,0.79518,0.86284,0.65412,0.74497,0.53233,0.91213,0.53867,0.99829,0.002872,0.002872,0.002872
38,18706.1,0.44797,0.26508,0.79179,0.86271,0.65395,0.74406,0.53292,0.90859,0.53808,0.9988,0.002674,0.002674,0.002674
39,19155,0.42965,0.25773,0.78837,0.86614,0.65458,0.74643,0.53601,0.90407,0.5363,0.99888,0.002476,0.002476,0.002476
40,19910.7,0.41072,0.25021,0.78519,0.86139,0.65521,0.74626,0.5368,0.90159,0.53749,1.00141,0.002278,0.002278,0.002278
41,20314.2,0.3932,0.24265,0.78226,0.86274,0.65348,0.74581,0.53734,0.90025,0.53807,1.00415,0.00208,0.00208,0.00208
42,20970.3,0.37519,0.23541,0.77936,0.86226,0.65357,0.74556,0.53813,0.89737,0.53851,1.00548,0.001882,0.001882,0.001882
43,21359.5,0.35834,0.22846,0.77677,0.86465,0.65112,0.7458,0.53882,0.89571,0.53914,1.00721,0.001684,0.001684,0.001684
44,21768.2,0.34092,0.22113,0.77418,0.86482,0.6504,0.74576,0.53927,0.89446,0.5406,1.00933,0.001486,0.001486,0.001486
45,22190.6,0.32458,0.21437,0.77182,0.8652,0.64772,0.74532,0.53912,0.89374,0.542,1.01109,0.001288,0.001288,0.001288
46,22849.6,0.30856,0.20772,0.76963,0.86405,0.64857,0.74538,0.53957,0.89302,0.54372,1.01293,0.00109,0.00109,0.00109
47,23230.7,0.29276,0.20093,0.7677,0.86123,0.64941,0.74502,0.53994,0.89273,0.54567,1.01459,0.000892,0.000892,0.000892
48,23603.1,0.27818,0.19497,0.7661,0.86398,0.64731,0.74461,0.53972,0.89257,0.54745,1.01608,0.000694,0.000694,0.000694
49,24011.8,0.26479,0.18928,0.76444,0.86272,0.64566,0.74441,0.53985,0.89257,0.54963,1.01748,0.000496,0.000496,0.000496
50,24667.8,0.25319,0.18421,0.7634,0.86488,0.64365,0.74394,0.53968,0.89294,0.55193,1.01884,0.000298,0.000298,0.000298
