epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.762,1.38391,1.08139,1.06227,0.66103,0.51401,0.55252,0.28141,1.37981,0.82049,1.03848,0.00332741,0.00332741,0.00332741
2,746.582,1.29068,0.75015,1.01419,0.67458,0.51314,0.56882,0.29982,1.38087,0.83194,1.04035,0.00652886,0.00652886,0.00652886
3,1148.65,1.2997,0.76712,1.02029,0.64025,0.49638,0.52853,0.26857,1.43611,0.90217,1.07536,0.00959831,0.00959831,0.00959831
4,1558.64,1.31858,0.77982,1.03217,0.69901,0.50483,0.56557,0.29181,1.41883,0.84328,1.06815,0.009406,0.009406,0.009406
5,1980.46,1.2723,0.72909,1.01299,0.69762,0.52275,0.56859,0.30196,1.38033,0.79836,1.04573,0.009208,0.009208,0.009208
6,2368.29,1.22909,0.69006,0.99562,0.72407,0.5305,0.59026,0.31984,1.35734,0.79183,1.04238,0.00901,0.00901,0.00901
7,2748.6,1.19187,0.65981,0.98051,0.72872,0.54612,0.61049,0.33814,1.33225,0.75991,1.02387,0.008812,0.008812,0.008812
8,3119.14,1.15962,0.63281,0.96742,0.73941,0.55937,0.62433,0.34548,1.3217,0.73092,1.02564,0.008614,0.008614,0.008614
9,3502.58,1.12607,0.60724,0.95548,0.77095,0.58375,0.64978,0.37115,1.26711,0.70044,1.0002,0.008416,0.008416,0.008416
10,3900.95,1.09473,0.58407,0.9438,0.78251,0.59781,0.67223,0.39014,1.26455,0.67901,1.00798,0.008218,0.008218,0.008218
11,4333.61,1.06519,0.56367,0.93382,0.80811,0.60236,0.68194,0.39844,1.25947,0.67474,1.00391,0.00802,0.00802,0.00802
12,4972.57,1.03553,0.54499,0.92502,0.80708,0.60231,0.68692,0.40774,1.23301,0.66473,0.9949,0.007822,0.007822,0.007822
13,5363.49,1.00565,0.52634,0.91484,0.81146,0.61833,0.6929,0.41654,1.20652,0.64341,0.98193,0.007624,0.007624,0.007624
14,5749.78,0.97487,0.50817,0.90593,0.80548,0.6334,0.69719,0.42248,1.18804,0.63137,0.98004,0.007426,0.007426,0.007426
15,6131.24,0.94656,0.49301,0.89683,0.81098,0.62818,0.70548,0.43154,1.18063,0.64128,0.97468,0.007228,0.007228,0.007228
16,6688.79,0.91715,0.47746,0.88846,0.82123,0.62509,0.70724,0.44272,1.15331,0.62667,0.97393,0.00703,0.00703,0.00703
17,7184.55,0.88899,0.46244,0.88061,0.82839,0.64082,0.7162,0.44939,1.13289,0.61029,0.96768,0.006832,0.006832,0.006832
18,7584.07,0.86082,0.44869,0.8729,0.82703,0.63833,0.71769,0.45135,1.13078,0.61421,0.96499,0.006634,0.006634,0.006634
19,8023.76,0.83246,0.43499,0.86554,0.83388,0.63573,0.7187,0.45947,1.10117,0.59983,0.95847,0.006436,0.006436,0.006436
20,8817.5,0.8064,0.42293,0.85866,0.83238,0.64244,0.72032,0.46419,1.09892,0.59762,0.95989,0.006238,0.006238,0.006238
21,9232.01,0.78102,0.41146,0.85239,0.83914,0.64126,0.7228,0.46921,1.07921,0.59168,0.95517,0.00604,0.00604,0.00604
22,9616.97,0.75581,0.39994,0.84637,0.84303,0.64864,0.73069,0.47747,1.0729,0.58457,0.95816,0.005842,0.005842,0.005842
23,10008.5,0.73273,0.38881,0.84081,0.83952,0.64925,0.72702,0.47615,1.06469,0.59391,0.95406,0.005644,0.005644,0.005644
24,10396.9,0.70859,0.37849,0.83538,0.83671,0.65143,0.73341,0.48611,1.0473,0.58604,0.9518,0.005446,0.005446,0.005446
25,10787.7,0.68616,0.36829,0.83022,0.84262,0.65316,0.73043,0.48549,1.0393,0.57925,0.95379,0.005248,0.005248,0.005248
26,11173.9,0.66428,0.35911,0.82547,0.84655,0.64902,0.73505,0.49142,1.02854,0.58015,0.95142,0.00505,0.00505,0.00505
27,11565.5,0.64056,0.34898,0.82048,0.84573,0.65164,0.73718,0.49641,1.01893,0.57314,0.94905,0.004852,0.004852,0.004852
28,11955.4,0.61943,0.33981,0.81606,0.84753,0.64931,0.73717,0.50086,1.00681,0.57111,0.94755,0.004654,0.004654,0.004654
29,12341.8,0.59836,0.33124,0.81191,0.83813,0.6523,0.7364,0.50059,1.00457,0.56839,0.95157,0.004456,0.004456,0.004456
30,12731.4,0.5785,0.32294,0.80825,0.85709,0.64818,0.73704,0.50511,0.9934,0.56673,0.95101,0.004258,0.004258,0.004258
31,13118.6,0.55824,0.31339,0.80441,0.85519,0.6541,0.74091,0.50959,0.9852,0.56242,0.9487,0.00406,0.00406,0.00406
32,13483.6,0.53886,0.3053,0.80061,0.84244,0.66071,0.74289,0.51364,0.97746,0.56057,0.94924,0.003862,0.003862,0.003862
33,13865.7,0.52038,0.29789,0.79743,0.84981,0.65776,0.74218,0.51471,0.97058,0.55749,0.94923,0.003664,0.003664,0.003664
34,14256.6,0.50005,0.28963,0.79418,0.86455,0.65633,0.74798,0.52093,0.96767,0.55493,0.94904,0.003466,0.003466,0.003466
35,14626.1,0.48131,0.28202,0.79091,0.85555,0.65975,0.74732,0.52247,0.96169,0.55431,0.94901,0.003268,0.003268,0.003268
36,15012.5,0.46192,0.27389,0.78779,0.84855,0.65847,0.74678,0.52365,0.95678,0.55397,0.95021,0.00307,0.00307,0.00307
37,15381.7,0.4428,0.26611,0.78483,0.85586,0.65824,0.74671,0.52496,0.95476,0.55324,0.95151,0.002872,0.002872,0.002872
38,15747.1,0.42584,0.25853,0.7823,0.85073,0.65862,0.74777,0.52744,0.95192,0.55373,0.9537,0.002674,0.002674,0.002674
39,16112.8,0.40793,0.2512,0.77975,0.85051,0.65988,0.74777,0.52782,0.94836,0.55359,0.95448,0.002476,0.002476,0.002476
40,16478.8,0.38922,0.24328,0.77704,0.84957,0.66059,0.74912,0.5296,0.94548,0.55325,0.95573,0.002278,0.002278,0.002278
41,16861.2,0.3718,0.23596,0.77468,0.85105,0.65984,0.74896,0.53023,0.94337,0.55362,0.95714,0.00208,0.00208,0.00208
42,17225.5,0.35414,0.2281,0.7723,0.84858,0.65871,0.74842,0.53079,0.94232,0.55495,0.95907,0.001882,0.001882,0.001882
43,17592,0.3383,0.22144,0.77052,0.84881,0.65689,0.74782,0.53052,0.94101,0.55763,0.96001,0.001684,0.001684,0.001684
44,17957.1,0.32113,0.21393,0.76828,0.8539,0.65325,0.74724,0.52998,0.94068,0.55966,0.96164,0.001486,0.001486,0.001486
45,18324.3,0.30475,0.20679,0.76648,0.84841,0.65598,0.74649,0.53045,0.94009,0.56222,0.96284,0.001288,0.001288,0.001288
46,18689.9,0.28879,0.19972,0.76475,0.84778,0.65508,0.74591,0.52982,0.94027,0.56549,0.96433,0.00109,0.00109,0.00109
47,19059.6,0.27397,0.19307,0.7634,0.84779,0.65417,0.74519,0.52954,0.94025,0.56818,0.96553,0.000892,0.000892,0.000892
48,19484.2,0.26,0.18662,0.76209,0.84622,0.65447,0.74496,0.52958,0.94025,0.57093,0.9665,0.000694,0.000694,0.000694
49,19907.5,0.24743,0.18098,0.76085,0.84586,0.65354,0.74458,0.52929,0.94056,0.57374,0.96758,0.000496,0.000496,0.000496
50,20271.4,0.23591,0.17598,0.76006,0.8451,0.65328,0.7442,0.52922,0.94095,0.57683,0.96844,0.000298,0.000298,0.000298
